"Horario","Contagem"
"1727098845","60"
"1725834645","167"
"1726875945","137"
"1726885545","243"
"1725898245","49"
"1726434045","107"
"1726375846","186"
"1726791945","103"
"1726806045","137"
"1726073145","38"
"1727170245","44"
"1726518645","51"
"1726636545","46"
"1726014945","78"
"1727020545","75"
"1727192745","37"
"1726337145","70"
"1726065645","33"
"1727165745","49"
"1725846045","210"
"1727213745","66"
"1727100946","57"
"1726526745","72"
"1725950745","87"
"1726640445","44"
"1727047845","177"
"1726765545","28"
"1726807545","136"
"1725929145","105"
"1726347645","76"
"1727064645","143"
"1726896045","387"
"1726762245","27"
"1726136445","40"
"1725665445","130"
"1726664145","28"
"1725914745","72"
"1725839445","199"
"1726797111","117"
"1725889845","49"
"1727168146","45"
"1726158945","33"
"1727003745","147"
"1725735945","69"
"1726142445","36"
"1726375545","184"
"1726538445","61"
"1726731350","70"
"1726952145","127"
"1727078145","131"
"1727193045","37"
"1726442745","153"
"1726443945","149"
"1726083046","55"
"1725999645","43"
"1725785445","173"
"1726621845","55"
"1726957846","126"
"1727047245","174"
"1726050345","36"
"1726772445","40"
"1726908945","245"
"1726736746","50"
"1726779045","59"
"1726875345","134"
"1727239245","67"
"1726394145","139"
"1726576245","25"
"1726304445","250"
"1726828245","46"
"1726871745","102"
"1725729350","59"
"1726916146","189"
"1727253945","39"
"1725686745","369"
"1726832145","45"
"1725825645","108"
"1726853745","45"
"1726060245","33"
"1725780645","210"
"1726585245","26"
"1726349445","82"
"1727235045","72"
"1727113545","51"
"1726694745","68"
"1726552545","55"
"1726878649","157"
"1727209545","57"
"1727057745","145"
"1726923346","123"
"1727031345","85"
"1726177845","59"
"1726793449","105"
"1726544745","55"
"1726396550","125"
"1726992945","249"
"1726361445","116"
"1727210745","60"
"1725936045","95"
"1726306845","205"
"1726290645","384"
"1725886845","50"
"1726977945","231"
"1727224245","75"
"1726427745","76"
"1725722145","86"
"1727081445","112"
"1727115345","52"
"1726128645","57"
"1726792545","107"
"1726324245","78"
"1726400745","105"
"1725856545","146"
"1726854045","45"
"1726235145","50"
"1725909945","51"
"1725843345","202"
"1727269246","24"
"1726411545","62"
"1726175745","53"
"1725858945","131"
"1725902746","47"
"1727118050","52"
"1727119846","60"
"1725927046","111"
"1726752345","28"
"1726995345","224"
"1726039245","56"
"1726003845","65"
"1726389045","156"
"1726097145","108"
"1726880145","172"
"1726133445","45"
"1727214345","68"
"1726394745","136"
"1725995745","33"
"1726999246","193"
"1726747845","35"
"1726845645","38"
"1725786945","164"
"1726451445","103"
"1726247446","47"
"1726195245","129"
"1726240545","42"
"1726141545","36"
"1726068045","32"
"1726065045","32"
"1725837645","173"
"1726514446","43"
"1726812345","128"
"1725935745","92"
"1726936845","85"
"1726388146","166"
"1726686345","42"
"1726422045","66"
"1726860645","58"
"1726612845","62"
"1727245545","58"
"1725733545","67"
"1726627845","47"
"1726738846","44"
"1726038346","55"
"1726704945","108"
"1726902045","341"
"1726896345","391"
"1726464645","107"
"1726438545","140"
"1726934145","93"
"1725795646","106"
"1726219546","94"
"1727022045","74"
"1726856745","49"
"1726618845","57"
"1726643146","38"
"1725958545","65"
"1726746946","35"
"1726023945","67"
"1726965346","142"
"1727071845","154"
"1725858645","133"
"1726764045","28"
"1725981945","29"
"1727172345","43"
"1726981545","252"
"1725795345","106"
"1726338045","73"
"1725669345","158"
"1726962045","138"
"1726980645","248"
"1726416049","59"
"1726139445","38"
"1725877545","69"
"1725870645","92"
"1726473345","88"
"1726019445","68"
"1726853145","45"
"1725756945","150"
"1725951045","87"
"1727058945","137"
"1726094145","97"
"1726684245","41"
"1726152645","33"
"1726857645","49"
"1726257946","72"
"1726690545","50"
"1726337746","71"
"1726550145","51"
"1725743445","97"
"1726554345","61"
"1726062945","32"
"1726886445","264"
"1726109449","117"
"1726138545","40"
"1727080846","122"
"1726908645","248"
"1726683945","41"
"1726778145","56"
"1726325145","75"
"1726409445","68"
"1726693845","63"
"1726577145","24"
"1726650345","37"
"1726925745","114"
"1726208145","134"
"1726334445","61"
"1726360845","116"
"1726677645","29"
"1726389945","154"
"1726664445","29"
"1727042445","154"
"1726866945","82"
"1726179646","64"
"1726190745","105"
"1726712745","115"
"1726930245","105"
"1726132545","45"
"1727105145","49"
"1727217345","74"
"1726005345","66"
"1725854145","159"
"1726660845","29"
"1726538145","61"
"1726899346","370"
"1726377645","189"
"1726728945","78"
"1726704345","111"
"1725997245","38"
"1727158245","53"
"1727086846","93"
"1726202445","156"
"1726281345","272"
"1725961245","53"
"1725905445","47"
"1726804245","130"
"1725904545","49"
"1726935345","90"
"1725716146","111"
"1726236045","50"
"1725746145","106"
"1726905645","293"
"1725970545","39"
"1726511445","38"
"1725960045","61"
"1725885645","51"
"1725672945","209"
"1725855645","146"
"1725684345","384"
"1726776945","51"
"1726348245","75"
"1725755745","138"
"1726302945","280"
"1727069445","153"
"1727129145","83"
"1725992445","35"
"1727211945","65"
"1726939845","92"
"1726539045","57"
"1725945045","93"
"1725879645","64"
"1726889445","356"
"1727129745","84"
"1726165545","42"
"1726539645","58"
"1726923945","120"
"1727075745","137"
"1725687645","362"
"1726662045","29"
"1725747045","108"
"1727128545","81"
"1725717345","103"
"1726494945","45"
"1727251845","45"
"1726568745","27"
"1726586445","27"
"1726583445","24"
"1727089245","80"
"1725783346","186"
"1727203845","43"
"1726886745","277"
"1726326045","66"
"1725769545","213"
"1727166346","48"
"1726932645","96"
"1725972946","37"
"1725676245","260"
"1725954645","77"
"1726446345","136"
"1725734746","70"
"1726348545","75"
"1726472145","92"
"1727079945","123"
"1727150745","61"
"1726471845","92"
"1725753045","121"
"1726697145","81"
"1725981645","29"
"1727045146","169"
"1727005846","124"
"1726962945","138"
"1726308045","183"
"1726487745","46"
"1726956045","136"
"1726587645","28"
"1726146945","35"
"1725836745","177"
"1726435545","118"
"1725726945","63"
"1726827945","47"
"1726958745","119"
"1726932050","99"
"1726698045","86"
"1725948045","94"
"1726067145","31"
"1726048245","38"
"1727153745","62"
"1726322146","85"
"1726944645","107"
"1726915849","194"
"1726231245","58"
"1727226945","76"
"1726614645","58"
"1726234245","51"
"1726695045","71"
"1725993050","35"
"1726910145","231"
"1726466746","106"
"1727071245","157"
"1726228849","66"
"1726707945","105"
"1726841745","40"
"1726942245","93"
"1726808446","139"
"1726930845","102"
"1726362345","116"
"1727275245","21"
"1726764945","28"
"1725823845","102"
"1727198145","38"
"1726351245","83"
"1726592446","31"
"1726769445","30"
"1726564845","36"
"1727019645","81"
"1726482045","55"
"1727156745","55"
"1726264545","115"
"1727247345","56"
"1726869345","89"
"1726161046","37"
"1727189446","35"
"1726206345","147"
"1726864545","73"
"1727044845","167"
"1726647345","39"
"1726631145","57"
"1726011946","78"
"1726733145","55"
"1726536645","63"
"1726707046","109"
"1726182046","80"
"1726875649","136"
"1726382445","192"
"1726818345","106"
"1725960645","59"
"1726219245","98"
"1726165845","42"
"1726813545","127"
"1726785945","85"
"1726752646","28"
"1726233645","55"
"1726074945","40"
"1726676145","30"
"1725946245","93"
"1726761945","27"
"1727134845","89"
"1726856145","47"
"1726333245","64"
"1727130345","85"
"1725763545","187"
"1727121945","65"
"1726348845","80"
"1725937845","93"
"1726254345","55"
"1725863445","123"
"1726085745","65"
"1727212245","64"
"1726617646","58"
"1726711845","114"
"1725725445","67"
"1726290345","388"
"1727100645","57"
"1726533345","65"
"1725900045","49"
"1725882045","59"
"1725709545","153"
"1726032645","63"
"1726950645","117"
"1726368346","152"
"1726122945","71"
"1726789249","99"
"1726965645","143"
"1726272345","181"
"1726784445","77"
"1726857945","50"
"1726341045","79"
"1725834045","169"
"1726779646","60"
"1725852945","167"
"1726730445","76"
"1726809645","134"
"1726938345","93"
"1726135246","41"
"1726193145","127"
"1727028645","81"
"1726126245","59"
"1726583745","25"
"1726696546","80"
"1726381545","194"
"1725944745","96"
"1726941045","89"
"1726557945","54"
"1727084445","98"
"1726687245","41"
"1726160745","36"
"1726240246","42"
"1726095645","101"
"1725910545","51"
"1726523445","64"
"1726925445","117"
"1726491645","47"
"1726570845","27"
"1725847245","188"
"1726029345","71"
"1725678345","325"
"1726260345","81"
"1726035945","57"
"1727011245","103"
"1727191845","37"
"1726215046","124"
"1726803645","126"
"1726012845","76"
"1726001145","48"
"1726364145","118"
"1725712545","131"
"1726820145","94"
"1725855048","157"
"1726038645","56"
"1725745245","100"
"1726821346","88"
"1726275645","216"
"1727055046","162"
"1725945345","92"
"1727126145","71"
"1726430745","80"
"1726654845","31"
"1726607745","51"
"1726529145","67"
"1727132445","87"
"1726401945","103"
"1726633545","54"
"1726225545","70"
"1726713945","118"
"1725825345","107"
"1726260945","89"
"1727252745","42"
"1725663345","118"
"1726989045","276"
"1725980445","30"
"1726547445","53"
"1726208745","131"
"1726444545","147"
"1726448145","122"
"1726189245","101"
"1726201545","155"
"1725888045","48"
"1727055345","162"
"1727217945","75"
"1726137045","40"
"1727155245","60"
"1727235345","73"
"1725924945","111"
"1726483845","48"
"1726236345","50"
"1726800345","120"
"1726929945","105"
"1726805445","137"
"1727131845","90"
"1726451745","103"
"1726922745","129"
"1727040345","141"
"1725715845","111"
"1726684545","42"
"1726747245","35"
"1726421145","64"
"1726867245","82"
"1725933945","92"
"1726159245","34"
"1726266645","128"
"1726286145","363"
"1726572045","27"
"1727037045","110"
"1726936246","86"
"1726771845","37"
"1727144445","78"
"1726991745","253"
"1727002245","165"
"1726413645","59"
"1725832245","154"
"1726695345","73"
"1726154445","32"
"1726851945","44"
"1726305045","236"
"1726408245","72"
"1727142046","77"
"1726190445","103"
"1727205345","46"
"1727004645","137"
"1726087846","79"
"1727184645","35"
"1726635945","48"
"1726531245","60"
"1726633845","52"
"1725684049","388"
"1726255845","63"
"1726122345","74"
"1726220146","93"
"1726930546","104"
"1726679745","32"
"1726245349","46"
"1727220345","70"
"1726982145","262"
"1727205046","46"
"1726297245","335"
"1726928745","110"
"1726030245","68"
"1726298745","326"
"1726575945","25"
"1725959746","61"
"1727175945","36"
"1727154345","62"
"1726910745","225"
"1726244747","46"
"1726839945","40"
"1727025945","78"
"1726872645","108"
"1726832446","44"
"1727070045","159"
"1727201745","40"
"1725668145","149"
"1726782345","69"
"1725821445","91"
"1726467045","107"
"1726632345","56"
"1725749745","121"
"1726310445","153"
"1726696245","80"
"1726096246","99"
"1726581945","24"
"1726119045","82"
"1726972845","183"
"1725931845","89"
"1726323345","79"
"1725962145","51"
"1726412445","61"
"1726708845","105"
"1726089345","82"
"1726398645","124"
"1726723245","114"
"1725968746","42"
"1725877245","70"
"1726597845","32"
"1726947945","117"
"1727221245","72"
"1726440345","149"
"1726716645","125"
"1727165145","48"
"1726232745","55"
"1725861045","127"
"1726715746","124"
"1726999545","188"
"1726772745","40"
"1726180545","68"
"1726722945","115"
"1727132745","86"
"1725870346","93"
"1726063845","32"
"1726553445","59"
"1726848645","40"
